Year,National League,ERA,,American League,ERA,,ERA_Leader
1902,Jack Taylor (CHC),1.29,,Ed Siever* (DET),1.91,,1.91
1901,Jesse Tannehill* (PIT),2.18,,Cy Young+ (BOS),1.62,,2.18
1900,Rube Waddell+* (PIT),2.37,,,,,2.37
1899,Vic Willis+ (BSN),2.5,,,,,2.5
1898,Clark Griffith+ (CHC),1.88,,,,,1.88
1897,Amos Rusie+ (NYG),2.54,,,,,2.54
1896,Billy Rhines (CIN),2.45,,,,,2.45
1895,Al Maul (WHS),2.45,,,,,2.45
1894,Amos Rusie+ (NYG),2.78,,,,,2.78
1893,Theodore Breitenstein* (STL),3.18,,,,,3.18
1892,Cy Young+ (CLV),1.93,,American Association,ERA,,1.93
1891,John Ewing (NYG),2.27,,Ed Crane (CKK),2.45,,2.45
1890,Billy Rhines (CIN),1.95,,Scott Stratton (LOU),2.36,,2.36
1889,John Clarkson+ (BSN),2.73,,Jack Stivetts (STL),2.25,,2.73
1888,Tim Keefe+ (NYG),1.74,,Silver King (STL),1.63,,1.74
1887,Dan Casey* (PHI),2.86,,Elmer Smith* (CIN),2.94,,2.94
1886,Henry Boyle (SLM),1.76,,Dave Foutz (STL),2.11,,2.11
1885,Tim Keefe+ (NYG),1.58,,Bob Caruthers (STL),2.07,,2.07
1884,Old Hoss Radbourn+ (PRO),1.38,,Guy Hecker (LOU),1.8,,1.8
1883,Jim McCormick (CLV),1.84,,Will White (CIN),2.09,,2.09
1882,Larry Corcoran (CHC),1.95,,Denny Driscoll* (PIT),1.21,,1.95
1881,George Weidman (DTN),1.8,,,,,1.8
1880,Tim Keefe+ (TRO),0.86,,,,,0.86
1879,Tommy Bond (BSN),1.96,,,,,1.96
1878,John Ward+ (PRO),1.51,,,,,1.51
1877,Tommy Bond (BSN),2.11,,,,,2.11
1876,George Bradley (STL),1.23,,,,,1.23
1875,Pud Galvin+ (STL),1.16,,,,,1.16
1874,Dick McBride (ATH),1.64,,,,,1.64
1873,Cherokee Fisher (ATH),1.81,,,,,1.81
1872,Cherokee Fisher (BAL),1.8,,,,,1.8
1871,George Zettlein (CHI),2.73,,,,,2.73
